#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-11T15:09:00.000000000Z,-5,Intraday 1Min,5586,5596.75,5585.25,5594.75,7560,3070,5586,5596.75,5585,5594.75,5586.25,5597,5585.25,5595,,1,106,1,12,11,162,1,8
ESH25,Market Price,2025-03-11T15:10:00.000000000Z,-5,Intraday 1Min,5594.75,5597.75,5588,5589.25,7554,3143,5594.75,5597.75,5588,5589,5595,5598,5588.25,5589.25,,10,69,1,6,8,140,1,9
ESH25,Market Price,2025-03-11T15:11:00.000000000Z,-5,Intraday 1Min,5589,5592.5,5588,5591.5,4439,1963,5589,5592.5,5587.75,5591.25,5589.25,5592.75,5588,5591.5,,6,43,1,18,10,47,1,4
ESH25,Market Price,2025-03-11T15:12:00.000000000Z,-5,Intraday 1Min,5591.25,5603.75,5591,5599.25,7448,3183,5591.25,5603.25,5590.75,5599,5591.5,5603.75,5591,5599.25,,18,132,1,9,2,94,1,10
ESH25,Market Price,2025-03-11T15:13:00.000000000Z,-5,Intraday 1Min,5599.25,5599.5,5593.25,5596,6300,2461,5599,5599.5,5593,5595.75,5599.25,5599.75,5593.25,5596.25,,11,81,1,12,10,212,1,13
ESH25,Market Price,2025-03-11T15:14:00.000000000Z,-5,Intraday 1Min,5596,5596.75,5591.5,5593.25,5390,2241,5595.75,5596.75,5591.25,5593.25,5596,5597,5591.5,5593.5,,12,43,1,9,1,59,1,8
ESH25,Market Price,2025-03-11T15:15:00.000000000Z,-5,Intraday 1Min,5593.5,5601.25,5593.5,5599,7064,3030,5593.25,5601.25,5593.25,5598.75,5593.5,5601.5,5593.5,5599,,9,38,1,12,5,47,1,6
ESH25,Market Price,2025-03-11T15:16:00.000000000Z,-5,Intraday 1Min,5599,5599.75,5592.25,5595.75,4786,2122,5598.75,5599.75,5592,5595.75,5599,5600,5592.25,5596,,14,123,1,16,6,55,1,11
ESH25,Market Price,2025-03-11T15:17:00.000000000Z,-5,Intraday 1Min,5595.75,5601.5,5595.25,5600.75,5485,2126,5595.75,5601.25,5595,5600.75,5596,5601.5,5595.25,5601,,17,200,1,8,11,245,1,10
ESH25,Market Price,2025-03-11T15:18:00.000000000Z,-5,Intraday 1Min,5600.75,5602,5594.5,5597,3904,1806,5600.75,5601.75,5594.5,5597,5601,5602,5595,5597.25,,8,46,1,9,12,71,1,3
ESH25,Market Price,2025-03-11T15:19:00.000000000Z,-5,Intraday 1Min,5597,5600,5593.25,5598.5,3505,1567,5597,5599.75,5593.25,5598.25,5597.25,5600,5593.5,5598.75,,9,29,1,25,5,62,1,14
ESH25,Market Price,2025-03-11T15:20:00.000000000Z,-5,Intraday 1Min,5598.25,5600.5,5596.5,5597.25,4394,1974,5598.25,5600.5,5596.25,5597,5598.75,5600.75,5596.5,5597.25,,23,117,1,17,14,58,1,10
ESH25,Market Price,2025-03-11T15:21:00.000000000Z,-5,Intraday 1Min,5597,5602,5595.75,5598,3999,1711,5597,5601.75,5595.5,5597.75,5597.25,5602,5595.75,5598,,17,64,1,16,11,44,1,11
ESH25,Market Price,2025-03-11T15:22:00.000000000Z,-5,Intraday 1Min,5597.75,5601.25,5590.25,5593.75,7715,3627,5597.75,5601,5590.25,5593.5,5598,5601.25,5590.5,5594,,16,47,1,12,10,69,1,12
ESH25,Market Price,2025-03-11T15:23:00.000000000Z,-5,Intraday 1Min,5593.75,5597.75,5586.25,5587,6479,2892,5593.5,5597.75,5586,5586.75,5593.75,5598,5586.25,5587,,12,117,1,5,1,32,1,11
ESH25,Market Price,2025-03-11T15:24:00.000000000Z,-5,Intraday 1Min,5587,5589.75,5585.5,5587.25,4874,2126,5586.75,5589.5,5585.25,5587,5587,5589.75,5585.5,5587.5,,5,51,1,13,9,46,1,21
